idx,date,cust_email,cust_location,product_id,product_quantity
1,2019-12-31 17:00:00.0,bin@msn.com,98802.0,X4TBTVB2C4CT,1
2,2019-12-31 17:00:00.0,bin@msn.com,98802.0,QF4X9RRXXHJC,3
3,2019-12-31 17:00:00.0,paomp@live.com,41400.0,EMJ2K2GWAFT9,2
4,2019-12-31 17:00:00.0,cryss@aol.com,33041.0,XUIMUB32ZK7A,1
5,2019-12-31 17:00:00.0,cryss@aol.com,33041.0,8PQ5T5D64SRZ,1
6,2019-12-31 17:00:00.0,stroipt@yahoo.com,33041.0,9PRFQ24Z1ZPT,1
7,2019-12-31 17:00:00.0,swod@msn.com,43541.0,5ITPZLS6EMN6,1
8,2020-01-01 17:00:00.0,jiob@aol.com,24395.0,Y5NYXOZRF1BJ,1
9,2020-01-01 17:00:00.0,gra@outlook.com,18933.0,P768IEEII2NF,1
10,2020-01-01 17:00:00.0,gra@outlook.com,18933.0,IYZM447HX4PU,1
11,2020-01-01 17:00:00.0,snemp@gmail.com,32294.0,45UIP23SJ9UF,1
12,2020-01-01 17:00:00.0,proov@icloud.com,48893.0,7EH3QELUEVIM,4
13,2020-01-01 17:00:00.0,ve@mail.com,94588.0,HV8YOHI3C0JL,2
14,2020-01-02 17:00:00.0,slie@hotmail.com,21901.0,AJB6NBSXLJQJ,1
15,2020-01-02 17:00:00.0,swoipt@yahoo.com,82075.0,A6927HBTTW9P,1
16,2020-01-02 17:00:00.0,fruem@gmail.com,11976.0,I6NE4436JIZM,1
17,2020-01-03 17:00:00.0,shan@outlook.com,32642.0,S1SV2UPATF9X,2
18,2020-01-03 17:00:00.0,rau@live.com,35391.0,M8UYM4LK8E7F,4
19,2020-01-03 17:00:00.0,yyy@hotmail.com,62294.0,1DBOF66N0TC0,1
20,2020-01-03 17:00:00.0,fyw@aol.com,70590.0,9A0QSUVN3TO6,3
21,2020-01-03 17:00:00.0,fyw@aol.com,70590.0,5ELHFGF9EYWP,1
22,2020-01-03 17:00:00.0,nok@yahoo.com,67094.0,5YJB3CU4QJ5D,2
23,2020-01-03 17:00:00.0,daesh@icloud.com,1597.0,DNZCAVE5T2QR,1
24,2020-01-03 17:00:00.0,daesh@icloud.com,1597.0,XOTU9N4E72VO,3
25,2020-01-03 17:00:00.0,fea@yahoo.com,94929.0,2HI6V4WE8ETZ,1
26,2020-01-03 17:00:00.0,fea@yahoo.com,94929.0,2189DHEX1OBK,3
27,2020-01-03 17:00:00.0,vopt@gmail.com,82701.0,C5FX6CNLHO0W,1
28,2020-01-03 17:00:00.0,vopt@gmail.com,82701.0,19QIEZD85D1M,1
29,2020-01-04 17:00:00.0,pe@outlook.com,19068.0,5M76PQE6E4J1,1
30,2020-01-04 17:00:00.0,pe@outlook.com,19068.0,T6S6T0A30GTK,1
31,2020-01-04 17:00:00.0,pe@outlook.com,19068.0,T24BDLGP1OQI,1
32,2020-01-04 17:00:00.0,spaap@yahoo.com,23694.0,X6YPZCUHZ3FC,1
33,2020-01-04 17:00:00.0,spaap@yahoo.com,23694.0,R285X9QN5DT5,2
34,2020-01-04 17:00:00.0,soi@icloud.com,95845.0,Y247H7SR1FAN,1
35,2020-01-04 17:00:00.0,zaif@icloud.com,13697.0,H2QBIB100WYJ,3
36,2020-01-04 17:00:00.0,zaif@icloud.com,13697.0,Y5LYRPTQVAL3,1
37,2020-01-04 17:00:00.0,zaif@icloud.com,13697.0,22988V9P99IL,1
38,2020-01-04 17:00:00.0,yaa@yahoo.com,13595.0,GCPQ7C982E7U,2
39,2020-01-04 17:00:00.0,yaa@yahoo.com,13595.0,T7Q3EISHSVZL,1
40,2020-01-04 17:00:00.0,yaa@yahoo.com,13595.0,JMIDV4RCUOK5,4
41,2020-01-04 17:00:00.0,yaa@yahoo.com,13595.0,08SXGPTG830J,2
42,2020-01-04 17:00:00.0,cruimp@icloud.com,27426.0,CD8VQ8LYQLME,1
43,2020-01-04 17:00:00.0,fru@hotmail.com,5408.0,I3EOQ5BMPU8Z,1
44,2020-01-04 17:00:00.0,fru@hotmail.com,5408.0,ILQMJ2D8YUY0,1
45,2020-01-04 17:00:00.0,ju@icloud.com,44771.0,VW6D9P0BX6T3,1
46,2020-01-04 17:00:00.0,ju@icloud.com,44771.0,P2VI5G7OZGPZ,1
47,2020-01-04 17:00:00.0,smuem@yahoo.com,40489.0,Z6TDJXLKHZPX,3
48,2020-01-04 17:00:00.0,smuem@yahoo.com,40489.0,O0W5GT91RJOS,1
49,2020-01-05 17:00:00.0,bro@outlook.com,12997.0,1X7NMURD7OUP,1
50,2020-01-05 17:00:00.0,bro@outlook.com,12997.0,NVPQ0Y94OK2W,1
51,2020-01-05 17:00:00.0,sau@outlook.com,24538.0,MEJDX920LS45,2
52,2020-01-05 17:00:00.0,gig@gmail.com,71886.0,7K1SVF2UNNKA,1
53,2020-01-05 17:00:00.0,gig@gmail.com,71886.0,42NRL0Q91AD6,2
54,2020-01-05 17:00:00.0,clioch@outlook.com,45160.0,3KOHUY17W2BF,3
55,2020-01-05 17:00:00.0,clioch@outlook.com,45160.0,VTSEP1EGJQV7,2
56,2020-01-05 17:00:00.0,clioch@outlook.com,45160.0,C6994ZM22FID,1
57,2020-01-05 17:00:00.0,frooss@gmail.com,56865.0,ZAKX2L20VP3B,1
58,2020-01-05 17:00:00.0,frooss@gmail.com,56865.0,LS7413MCDBQB,2
59,2020-01-06 17:00:00.0,chop@aol.com,88869.0,MDJTBGG3A8F1,2
60,2020-01-06 17:00:00.0,chop@aol.com,88869.0,30UMES6GBYWJ,1
61,2020-01-06 17:00:00.0,gru@live.com,72293.0,CZFFK17WIT6E,5
62,2020-01-06 17:00:00.0,gru@live.com,72293.0,LPWNNSWEL3UA,2
63,2020-01-06 17:00:00.0,fee@live.com,85077.0,VEF23ZB8U49F,1
64,2020-01-06 17:00:00.0,fee@live.com,85077.0,42P3R64BVCD6,1
65,2020-01-06 17:00:00.0,fee@live.com,85077.0,L2VT1GLKTTSB,2
66,2020-01-06 17:00:00.0,fee@live.com,85077.0,NUQMVCZY7JXZ,2
67,2020-01-06 17:00:00.0,fee@live.com,85077.0,CILBIUW9JJLJ,3
68,2020-01-06 17:00:00.0,dresp@inbox.com,83145.0,283HIYIPU0QJ,1
69,2020-01-07 17:00:00.0,koih@msn.com,23440.0,JL16CA373VMP,3
70,2020-01-07 17:00:00.0,fleenk@msn.com,8855.0,MOFQV8RQNXJ7,1
71,2020-01-07 17:00:00.0,weont@gmail.com,86536.0,VHOA05HI66LX,2
72,2020-01-07 17:00:00.0,weont@gmail.com,86536.0,1K6YH2BNNFVU,2
73,2020-01-07 17:00:00.0,weont@gmail.com,86536.0,Y6EW3LW81ZM3,1
74,2020-01-07 17:00:00.0,stryct@icloud.com,84729.0,5FAYS27XW8WS,1
75,2020-01-07 17:00:00.0,troiss@yahoo.com,89261.0,51XPQW6RPMRL,1
76,2020-01-07 17:00:00.0,troiss@yahoo.com,89261.0,LST763T4CIOI,1
77,2020-01-07 17:00:00.0,troiss@yahoo.com,89261.0,AQP15Q6HLI6R,1
78,2020-01-07 17:00:00.0,troiss@yahoo.com,89261.0,CL1ITJ0AXU57,1
79,2020-01-07 17:00:00.0,troiss@yahoo.com,89261.0,59D2CNVQOITR,3
80,2020-01-07 17:00:00.0,plynk@live.com,46927.0,TJ6JM1QBXPJV,3
81,2020-01-08 17:00:00.0,fla@yahoo.com,74837.0,NITEV1GJXY4Q,1
82,2020-01-08 17:00:00.0,fla@yahoo.com,74837.0,STW62RSK7ZRI,1
83,2020-01-08 17:00:00.0,fla@yahoo.com,74837.0,WGJO6KHJQF9D,2
84,2020-01-08 17:00:00.0,skast@icloud.com,14684.0,SOAD22NKFKVE,2
85,2020-01-08 17:00:00.0,plink@aol.com,92581.0,QZCR9R73NV1C,1
86,2020-01-08 17:00:00.0,plink@aol.com,92581.0,WPDTYXV1MOLZ,1
87,2020-01-08 17:00:00.0,plink@aol.com,92581.0,8WKVQ105XKUX,1
88,2020-01-08 17:00:00.0,drosh@yahoo.com,94017.0,FB5CLODYRNDD,2
89,2020-01-08 17:00:00.0,blish@hotmail.com,70657.0,47J7TLBL6MSB,1
90,2020-01-08 17:00:00.0,blish@hotmail.com,70657.0,IDJS3LX20DP9,1
91,2020-01-08 17:00:00.0,fym@live.com,78186.0,2Z6FSCR4WH6J,1
92,2020-01-09 17:00:00.0,trauv@gmail.com,89967.0,QXJPF2JLZOS7,2
93,2020-01-09 17:00:00.0,spo@gmail.com,75380.0,3SDHNPNPCEGN,3
94,2020-01-09 17:00:00.0,piaz@gmail.com,29336.0,M2OWJLX9JJ2L,4
95,2020-01-09 17:00:00.0,drui@outlook.com,67094.0,QTPNTL8LX4CD,1
96,2020-01-10 17:00:00.0,smot@hotmail.com,50871.0,5E96XP1YKWW9,1
97,2020-01-10 17:00:00.0,smot@hotmail.com,50871.0,2K0PVN9HOTJG,1
98,2020-01-10 17:00:00.0,smot@hotmail.com,50871.0,SV045C82GD7R,1
99,2020-01-10 17:00:00.0,gro@gmail.com,85606.0,CGJZF6AGV5NM,2
100,2020-01-10 17:00:00.0,bleil@hotmail.com,77820.0,LDIGP0KF3O10,2
101,2020-01-10 17:00:00.0,vou@live.com,65248.0,JVPICVG88856,1
102,2020-01-10 17:00:00.0,fluosp@yahoo.com,81037.0,DWSKLZN425CS,1
103,2020-01-10 17:00:00.0,fluosp@yahoo.com,81037.0,0KD3F9A044IP,1
104,2020-01-10 17:00:00.0,frau@gmail.com,94171.0,H9PF2XDRP0GF,2
105,2020-01-10 17:00:00.0,frau@gmail.com,94171.0,QUCGM3H31CEA,1
106,2020-01-10 17:00:00.0,frau@gmail.com,94171.0,5X15FBUEMR6J,1
107,2020-01-10 17:00:00.0,lyss@gmail.com,35685.0,WLH3PKBVARY1,4
108,2020-01-10 17:00:00.0,lyss@gmail.com,35685.0,DDF9CRT2TNDL,6
109,2020-01-11 17:00:00.0,grouk@aol.com,13018.0,3EGKA08YVCKW,1
110,2020-01-12 17:00:00.0,fla@yahoo.com,74837.0,N4GP1G0PSESO,2
111,2020-01-12 17:00:00.0,fla@yahoo.com,74837.0,TVY7T30RV0WC,1
112,2020-01-12 17:00:00.0,sland@msn.com,78471.0,ROYGQS6CMZ59,4
113,2020-01-12 17:00:00.0,ja@aol.com,18926.0,SKJ6PZQWJ4XJ,2
114,2020-01-12 17:00:00.0,haan@aol.com,22708.0,9LTKZQ9R4W4M,2
115,2020-01-12 17:00:00.0,fo@aol.com,49193.0,IIHYY1K2AQPB,5
116,2020-01-12 17:00:00.0,fo@aol.com,49193.0,9K9GDE2SSTH2,2
117,2020-01-12 17:00:00.0,bly@aol.com,24337.0,ADHVABT77PCN,4
118,2020-01-12 17:00:00.0,bly@aol.com,24337.0,C56K0UW2LW8C,2
119,2020-01-12 17:00:00.0,bly@aol.com,24337.0,FTNSYSDXXA8Y,3
120,2020-01-12 17:00:00.0,bly@aol.com,24337.0,92GH6NADXS9I,1
121,2020-01-12 17:00:00.0,bly@aol.com,24337.0,WOE51YMP95VI,1
122,2020-01-12 17:00:00.0,jou@yahoo.com,9807.0,SWKTAK20G8IA,1
123,2020-01-12 17:00:00.0,bra@outlook.com,28852.0,H5CTLIA6VF3O,3
