date,cust_email,cust_location,product_id,product_quantity
2020-01-01,bliv@yahoo.com,14531,F1P7T9SCM7V9,1
2020-01-01,bliv@yahoo.com,14531,Z86QI6IZMU8I,1
2020-01-01,shest@live.com,79177,SRWTNA5NBO0W,1
2020-01-01,shest@live.com,79177,6DH74IBSLLZJ,1
2020-01-01,jueft@gmail.com,59660,L6EPHBZB71J6,1
2020-01-01,jueft@gmail.com,59660,UVHRURV1F97N,4
2020-01-01,jueft@gmail.com,59660,I370DWSP0HFP,2
2020-01-01,shass@msn.com,89337,R9RBPPKAQAEA,1
2020-01-01,shass@msn.com,89337,5M76PQE6E4J1,1
2020-01-01,diw@yahoo.com,42140,T6S6T0A30GTK,1
2020-01-01,spo@inbox.com,72755,T24BDLGP1OQI,1
2020-01-01,spo@inbox.com,72755,X6YPZCUHZ3FC,1
2020-01-01,spo@inbox.com,72755,R285X9QN5DT5,1
2020-01-01,kai@gmail.com,45160,Y247H7SR1FAN,1
2020-01-01,kai@gmail.com,45160,H2QBIB100WYJ,1
2020-01-01,duar@mail.com,88035,Y5LYRPTQVAL3,1
2020-01-01,prob@outlook.com,92338,22988V9P99IL,3
2020-01-01,wyct@live.com,18464,GCPQ7C982E7U,1
2020-01-01,swai@outlook.com,45160,T7Q3EISHSVZL,2
2020-01-01,frup@live.com,32547,JMIDV4RCUOK5,1
2020-01-01,fra@live.com,61078,08SXGPTG830J,1
2020-01-01,fra@live.com,61078,CD8VQ8LYQLME,1
2020-01-01,fra@live.com,61078,I3EOQ5BMPU8Z,2
2020-01-01,ro@yahoo.com,39788,ILQMJ2D8YUY0,1
2020-01-01,ro@yahoo.com,39788,VW6D9P0BX6T3,2
2020-01-01,ro@yahoo.com,39788,P2VI5G7OZGPZ,2
2020-01-01,spuft@gmail.com,88869,Z6TDJXLKHZPX,2
2020-01-01,duect@hotmail.com,64531,O0W5GT91RJOS,2
2020-01-02,nav@yahoo.com,15272,NNXMQ923CL84,1
2020-01-02,nav@yahoo.com,15272,TT9LA7NFZ07G,2
2020-01-02,nav@yahoo.com,15272,8CSEVIVPB9GC,2
2020-01-02,did@icloud.com,54913,HR8HRIBN473X,2
2020-01-02,pue@yahoo.com,12574,MDJTBGG3A8F1,1
2020-01-02,pue@yahoo.com,12574,30UMES6GBYWJ,1
2020-01-02,pue@yahoo.com,12574,CZFFK17WIT6E,1
2020-01-02,pue@yahoo.com,12574,LPWNNSWEL3UA,1
2020-01-02,spoa@gmail.com,70196,VEF23ZB8U49F,2
2020-01-02,spoa@gmail.com,70196,42P3R64BVCD6,1
2020-01-02,spoa@gmail.com,70196,L2VT1GLKTTSB,3
2020-01-02,smei@gmail.com,56259,NUQMVCZY7JXZ,1
2020-01-02,smei@gmail.com,56259,CILBIUW9JJLJ,1
2020-01-02,few@gmail.com,08600,283HIYIPU0QJ,2
2020-01-02,few@gmail.com,08600,VWZO7CMHUMQL,1
2020-01-02,few@gmail.com,08600,MHKUAQ3NJ935,4
2020-01-02,ved@inbox.com,42140,AIN4XLTLLQ42,2
2020-01-02,spynt@msn.com,15272,94CRSEO7YV86,1
2020-01-02,spynt@msn.com,15272,00JEXKMRJK72,1
2020-01-02,spynt@msn.com,15272,BFUTDN6HNH9H,1
2020-01-02,spynt@msn.com,15272,JL16CA373VMP,1
2020-01-02,crai@icloud.com,88821,MOFQV8RQNXJ7,1
2020-01-02,crai@icloud.com,88821,VHOA05HI66LX,3
2020-01-02,crai@icloud.com,88821,1K6YH2BNNFVU,1
2020-01-02,plib@gmail.com,41400,Y6EW3LW81ZM3,1
2020-01-02,plib@gmail.com,41400,5FAYS27XW8WS,2
2020-01-02,plib@gmail.com,41400,51XPQW6RPMRL,2
2020-01-02,duost@yahoo.com,18825,LST763T4CIOI,1
2020-01-02,duost@yahoo.com,18825,AQP15Q6HLI6R,1
2020-01-02,duost@yahoo.com,18825,CL1ITJ0AXU57,2
2020-01-02,duost@yahoo.com,18825,59D2CNVQOITR,3
2020-01-02,duost@yahoo.com,18825,TJ6JM1QBXPJV,2
2020-01-02,drio@live.com,60858,EHE2HD6GFGO9,1
2020-01-02,nuisp@outlook.com,08168,E0ZK7W95G5C0,1
2020-01-02,nuisp@outlook.com,08168,S0GYQ4LBVRAW,2
2020-01-02,nuisp@outlook.com,08168,6SBKVEO7AGN9,1
2020-01-02,dy@aol.com,01942,G2EAHFD0Q5KG,2
2020-01-02,dy@aol.com,01942,6WSWQRULBS25,3
2020-01-02,dy@aol.com,01942,NITEV1GJXY4Q,2
2020-01-02,pu@live.com,44082,STW62RSK7ZRI,1
2020-01-02,pu@live.com,44082,WGJO6KHJQF9D,1
2020-01-02,pu@live.com,44082,SOAD22NKFKVE,2
2020-01-02,pu@live.com,44082,QZCR9R73NV1C,1
2020-01-03,struisk@outlook.com,94760,NAWVWVSUZ8FP,1
2020-01-03,koe@live.com,40744,OHSXXY0O4TXL,1
2020-01-03,koe@live.com,40744,5E96XP1YKWW9,2
2020-01-03,gluo@icloud.com,34803,2K0PVN9HOTJG,2
2020-01-03,gluo@icloud.com,34803,SV045C82GD7R,1
2020-01-03,smiad@msn.com,02920,CGJZF6AGV5NM,1
2020-01-03,smiad@msn.com,02920,LDIGP0KF3O10,1
2020-01-03,smiad@msn.com,02920,JVPICVG88856,1
2020-01-03,smiad@msn.com,02920,DWSKLZN425CS,1
2020-01-03,smiad@msn.com,02920,0KD3F9A044IP,1
2020-01-03,smiad@msn.com,02920,H9PF2XDRP0GF,3
2020-01-03,plaung@gmail.com,22136,QUCGM3H31CEA,3
2020-01-03,plaung@gmail.com,22136,5X15FBUEMR6J,1
2020-01-03,crao@yahoo.com,72293,WLH3PKBVARY1,2
2020-01-03,snyr@inbox.com,17307,DDF9CRT2TNDL,2
2020-01-03,snyr@inbox.com,17307,N8UER5K04L89,3
2020-01-03,snyr@inbox.com,17307,3EGKA08YVCKW,1
2020-01-03,snyr@inbox.com,17307,FXXLMD19VTX0,3
2020-01-03,snyr@inbox.com,17307,BHAOQFF53XSY,1
2020-01-03,snyr@inbox.com,17307,MLGPPZWCFM8B,2
2020-01-03,truo@aol.com,37839,VBK3RAZGUAM1,1
2020-01-03,truo@aol.com,37839,NCTJ95DHCFPD,1
2020-01-03,skae@aol.com,72496,XBG7DXQZ1VLL,1
2020-01-03,breasp@gmail.com,88630,BF36VNROOK20,2
2020-01-03,breasp@gmail.com,88630,MUIJLJS328OR,2
2020-01-03,breasp@gmail.com,88630,N4GP1G0PSESO,1
